State/UT,Year,Rural,Urban,Total Population,Tot_Male,Tot_Female,Male_Literacy,Female_Litracy,Polulation_Literacy,Litracy_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
DELHI,2012,1160897,15956347,17117244,9140110,7964427,739630,5731369,6470999,86.81,16579,521,439,82,706,0,706,3970,2160,1810,28,13,608,1715,22032,14391,7641,79,341,2491,61,79,1747,134,727,208,1985,0,913,15408,54287,135282,44,5920,0,4462,317.1480175
GOA,2012,738377,725926,1464303,739805,719980,616623,550763,1167386,86.65,3702,45,35,3,55,0,55,24,16,8,6,0,25,356,915,300,615,122,64,205,16,34,266,0,49,16,24,0,233,1115,3608,8210,10,160,1,122,246.3970913
GUJARAT,2012,38004304,22645815,60650119,31554242,29006328,23662671,17688958,41351629,89.3,196024,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,130121,278387,288,9517,221,1327,214.5436846
HARYANA,2012,17995031,7403366,25398397,13521723,11873327,9823449,6825335,16648784,80.7,44212,991,910,68,668,0,668,1349,900,449,204,176,711,5129,17590,12979,4611,1424,740,1798,20,191,3277,258,525,434,3137,0,1484,21396,62480,144567,55,5922,0,1015,245.9997771
HIMACHAL PRADESH,2012,6183053,680991,6864044,3485354,3386111,2760847,2291720,5052567,75.48,55673,113,53,9,183,0,183,172,152,20,1,0,10,928,769,265,504,494,137,373,1,131,1173,2,250,68,251,0,562,6877,12557,26238,1,906,3,266,182.938804
JAMMU & KASHMIR,2012,9434606,3134706,12569312,6652615,5908900,4281729,2812090,7093819,83.5,222236,124,511,16,303,0,303,1093,1041,52,6,0,81,1395,2022,557,1465,1400,163,612,17,190,322,8,1322,347,301,0,371,14004,24608,52634,2,3322,0,40,195.7784165
JHARKHAND,2012,25559704,16964175,42523879,16964175,16089934,10915166,7482777,18397943,69.2,79714,1694,842,92,812,0,812,1056,786,270,284,33,494,1216,6680,2215,4465,2331,639,1566,14,136,4785,302,284,10,1261,3,1594,14818,40946,90440,696,3458,287,113,96.28942835
KARNATAKA,2012,40546828,20743764,61290592,31013106,30173832,22553487,18193267,40746754,66.55,191791,1860,1923,71,621,0,621,1451,1070,381,211,536,2207,5792,18418,8886,9532,7502,401,5822,84,416,20350,218,2978,100,3684,32,876,58468,134021,288532,2605,8703,374,875,218.6648809
KERALA,2012,24755388,8809494,33564882,16091521,17465542,13828247,14560799,28389046,94.5,38863,374,497,107,1019,0,1019,281,214,67,72,289,725,2710,4078,1262,2816,10938,301,4681,68,568,21170,32,3735,498,5216,0,48,101582,158989,323356,810,10714,124,1324,473.6766243
LAKSHADWEEP,2012,35932,28875,64807,33321,31538,28275,24571,52846,94.2,32,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,0,3,3,0,1,0,1,0,0,32,60,127,0,2,0,0,92.58259139
MADHYA PRADESH,2012,53668409,19120712,72789121,37680008,35109113,25778511,18101085,42979722,93.1,308245,2373,2332,114,3425,0,3425,1302,1127,175,107,127,1940,10019,23182,12279,10903,1951,576,2021,31,814,35549,743,6655,774,3988,6,7721,114585,220335,468579,2875,16718,1218,5168,302.703202
MAHARASHTRA,2012,65638482,48260070,113898552,59116701,54943246,46072220,37349310,83421530,82.88,307713,2712,2168,171,1839,0,1839,1583,1140,443,793,322,6949,15648,47476,17855,29621,8860,1900,9398,291,1246,28392,329,3935,1294,7415,0,13311,46668,202700,456298,1091,15952,308,3456,177.965388
MANIPUR,2012,1913035,855448,2768483,1486059,1461141,1045555,852544,1898099,77.06,22327,83,409,4,63,0,63,223,133,90,8,171,3,53,903,736,167,72,67,136,2,74,285,0,49,1,43,0,2,1086,3737,8663,0,289,2,104,134.9836716
MEGHALAYA,2012,2444270,586833,3031103,1527635,1523733,946778,906842,1853620,74.84,22429,137,63,8,164,0,164,92,24,68,52,1,46,145,543,152,391,0,44,108,13,61,157,1,43,0,16,0,102,761,2557,5913,0,248,0,91,84.35873014
MIZORAM,2012,561966,548166,1110132,567001,553325,447299,427670,874969,91.66,21081,30,21,7,103,0,103,8,3,5,2,0,4,347,605,24,581,1,12,42,6,12,103,0,85,0,8,0,34,336,1766,4248,0,199,0,95,159.0801815
NAGALAND,2012,1688521,358548,2047069,1033546,977699,743503,647545,1391048,80.48,1483,75,42,6,21,0,21,27,10,17,1,0,54,65,381,65,316,3,22,39,4,7,30,0,16,0,0,0,31,266,1090,2609,0,47,0,13,53.24686173
ODISHA,2012,36028375,6498504,42526879,21193585,21052751,15466923,12153989,27620912,73.15,155707,1548,1879,54,1458,0,1458,1542,1364,178,402,99,1613,3430,9630,3210,6420,2205,317,1607,19,469,8223,525,4187,304,2638,0,3605,22203,67957,148544,2265,10476,688,418,159.7977599
PUDUCHERRY,2012,421639,850206,1271845,627211,652598,527718,484307,1012025,86.1,479,29,27,12,13,0,13,19,16,3,5,15,16,77,658,462,196,126,9,90,6,21,818,0,9,2,6,0,263,2060,4281,9252,24,46,0,32,336.59762
PUNJAB,2012,18517255,9491726,28008981,14815138,13313534,10696957,8519213,19216170,76.11,50362,855,1045,104,680,1,679,919,689,230,48,184,213,2828,5272,2011,3261,1,289,3451,49,74,4186,118,340,31,1293,0,3405,10405,35790,78451,71,3151,0,877,127.780443
RAJASTHAN,2012,53405486,16414299,69819785,36262016,34053358,24446441,15345387,39791828,66.76,342239,1461,1538,98,2049,0,2049,3243,2697,546,31,74,807,4610,23314,14107,9207,573,682,19646,49,475,17614,478,2352,18,13312,0,8284,70240,170948,370502,653748,20906,1351,1807,244.8417737
SIKKIM,2012,547873,67815,615688,323070,291532,266596,208015,474611,81.42,7096,7,7,0,34,0,34,10,10,0,0,0,6,65,117,17,100,22,3,31,1,20,91,1,19,0,4,0,32,58,528,1217,5,68,4,30,85.75772144
TAMIL NADU,2012,40524361,32342843,72867204,36680044,36477172,28573260,24701302,53274562,80.88,130058,1949,2954,44,737,0,737,1945,1693,252,97,19,1898,4457,11996,3915,8081,3136,262,4151,377,726,22100,110,1494,382,1965,0,15499,124176,200474,415626,1647,6381,27,1036,275.1223994
TRIPURA,2012,3088869,628792,3717661,1889371,1826534,1538903,1355550,2897340,80.89,10486,124,79,2,229,0,229,139,114,25,7,0,60,239,565,140,425,128,47,105,9,59,1504,37,314,7,858,0,10,1742,6264,13461,76,1559,29,20,168.493039
UTTAR PRADESH,2012,159783555,42443054,202226609,107092522,96666476,70418482,48470720,118889202,67.98,240928,4966,4811,1410,1963,0,1963,8878,7910,968,322,68,3159,6187,37376,22773,14603,5676,3638,10713,205,327,12290,2244,3247,8,7661,0,14406,68538,198093,444403,6202,23033,44,6033,97.95595198
UTTARAKHAND,2012,7670906,2589515,10260421,5240528,5136562,3971891,3128883,7100774,79.22,53483,217,161,44,148,0,148,297,256,41,29,3,144,391,1913,949,964,369,137,529,22,17,1022,71,139,73,368,0,670,2118,8882,20122,33,1055,3,122,86.56564872
WEST BENGAL,2012,66749935,25825629,92575564,47417544,45045160,34529005,28745091,63274096,76.88,88752,2252,2854,522,2046,0,2046,5117,4168,949,279,875,816,464,22991,5158,17833,6611,1391,5300,352,396,15923,593,3345,556,19865,12,4385,64482,161427,353008,85,30585,91,1706,174.3732288
